Date,Average_Unemployment_Rate,Average_Employed,Average_Labour_Participation
2019-05-31,8.87425925925926,7410148.444444444,43.90296296296296
2019-06-30,9.303333333333333,7358641.574074074,43.75055555555556
2019-07-31,9.033888888888889,7404425.314814814,43.70666666666666
2019-08-31,9.637924528301888,7539815.188679245,43.64679245283019
2019-09-30,9.051730769230769,7739463.961538462,44.301346153846154
2019-10-31,9.90090909090909,7298382.4,44.00127272727273
2019-11-30,9.868363636363636,7273660.636363637,44.11054545454545
2019-12-31,9.497358490566038,7377387.8301886795,43.66735849056604
2020-01-31,9.950754716981132,7677344.415094339,44.05132075471698
2020-02-29,9.964716981132076,7603996.2830188675,43.72301886792453
2020-03-31,10.700576923076921,7516581.134615385,43.08403846153846
2020-04-30,23.64156862745098,5283319.901960785,35.141176470588235
2020-05-31,24.875294117647062,5879363.019607843,38.496862745098035
2020-06-30,11.903599999999999,7387008.66,40.5484
